Language name,Native name, ,639?2/B,639?3,639?6,Notes,
Afro-Asiatic,Afar,aa,aar,aar,aar,aars,
Northwest Caucasian,Abkhaz,ab,abk,abk,abk,abks,
Indo-European,Avestan,ae,ave,ave,ave,,ancient
Indo-European,Afrikaans,af,afr,afr,afr,afrs,
Niger-Congo,Akan,ak,aka,aka,aka +-2,,macrolanguage;Twi-is [tw/twi];Fanti-is [fat]
Afro-Asiatic,Amharic,am,amh,amh,amh,,
Indo-European,Aragonese,an,arg,arg,arg,,
Afro-Asiatic,Arabic,ar,ara,ara,ara +-30,,macrolanguage;Standard Arabicis [arb]
Indo-European,Assamese,as,asm,asm,asm,,
Northeast Caucasian,Avaric,av,ava,ava,ava,,
Aymaran,Aymara,ay,aym,aym,aym +-2,,macrolanguage
Turkic,Azerbaijani,az,aze,aze,aze +-2,,macrolanguage
Turkic,Bashkir,ba,bak,bak,bak,,
Indo-European,Belarusian,be,bel,bel,bel,,
Indo-European,Bulgarian,bg,bul,bul,bul,buls,
Indo-European,Bihari,bh,bih,bih,,,Collective language code for-Bhojpuri;Magahi; andMaithili
Creole,Bislama,bi,bis,bis,bis,,
Niger-Congo,Bambara,bm,bam,bam,bam,,
Indo-European,Bengali; Bangla,bn,ben,ben,ben,,
Sino-Tibetan,Tibetan Standard; Tibetan; Central,bo,bod,tib,bod,,
Indo-European,Breton,br,bre,bre,bre,,
Indo-European,Bosnian,bs,bos,bos,bos,boss,
Indo-European,Catalan,ca,cat,cat,cat,,
Northeast Caucasian,Chechen,ce,che,che,che,,
Austronesian,Chamorro,ch,cha,cha,cha,,
Indo-European,Corsican,co,cos,cos,cos,,
Algonquian,Cree,cr,cre,cre,cre +-6,,macrolanguage
Indo-European,Czech,cs,ces,cze,ces,,
Indo-European,Old Church Slavonic;Church Slavonic;-Old Bulgarian,cu,chu,chu,chu,,ancient; in use by-Orthodox Church
Turkic,Chuvash,cv,chv,chv,chv,,
Indo-European,Welsh,cy,cym,wel,cym,,
Indo-European,Danish,da,dan,dan,dan,,
Indo-European,German,de,deu,ger,deu,deus,
Indo-European,Divehi; Dhivehi; Maldivian,dv,div,div,div,,
Sino-Tibetan,Dzongkha,dz,dzo,dzo,dzo,,
Niger-Congo,Ewe,ee,ewe,ewe,ewe,,
Indo-European,Greek-(modern),el,ell,gre,ell,ells,
Indo-European,English,en,eng,eng,eng,engs,
